216967,R216967,11803,PH Q3 2020,11159,PIZZA  HUT,4711 RAMSEY ST,,FAYETTEVILLE,NC,28311,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216968,R216968,11803,PH Q3 2020,11138,PIZZA  HUT,2116 CEDAR CREEK RD,,FAYETTEVILLE,NC,28312,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216969,R216969,11803,PH Q3 2020,11164,PIZZA  HUT,2302 W CUMBERLAND ST,,DUNN,NC,28334,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216970,R216970,11803,PH Q3 2020,11162,PIZZA  HUT,1405 W BROAD ST,,ELIZABETHTOWN,NC,28337,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216971,R216971,11803,PH Q3 2020,11147,PIZZA  HUT,4455 FAYETTEVILLE RD,,LUMBERTON,NC,28358,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216972,R216972,11803,PH Q3 2020,11137,PIZZA  HUT,1300 E BROAD AVE,,ROCKINGHAM,NC,28379,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216973,R216973,11803,PH Q3 2020,11157,PIZZA  HUT,1101 N BRAGG BLVD,,SPRING LAKE,NC,28390,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216974,R216974,11803,PH Q3 2020,5574,PIZZA  HUT,4016 OLEANDER DR,,WILMINGTON,NC,28403,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216975,R216975,11803,PH Q3 2020,11149,PIZZA  HUT,112A VILLAGE RD NE,,LELAND,NC,28451,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216976,R216976,11803,PH Q3 2020,28322,PIZZA  HUT,2709 US HIGHWAY 70 E,,NEW BERN,NC,28560,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216977,R216977,11803,PH Q3 2020,36119,PIZZA  HUT,701 E FIRE TOWER RD,,WINTERVILLE,NC,28590,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216978,R216978,11803,PH Q3 2020,22160,PIZZA  HUT,2907 16TH ST NE,,HICKORY,NC,28601,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216979,R216979,11803,PH Q3 2020,10388,PIZZA  HUT,3966 HICKORY BLVD,,GRANITE FALLS,NC,28630,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216980,R216980,11803,PH Q3 2020,14489,PIZZA  HUT,130 WILKESBORO BLVD SE,,LENOIR,NC,28645,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216981,R216981,11803,PH Q3 2020,14487,PIZZA  HUT,2025 N WESTSIDE BLVD,,NEWTON,NC,28658,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216982,R216982,11803,PH Q3 2020,14571,PIZZA  HUT,1181 US HIGHWAY 70 E,,VALDESE,NC,28690,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216983,R216983,11803,PH Q3 2020,6934,PIZZA  HUT,2615 HENDERSONVILLE RD,,ARDEN,NC,28704,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216984,R216984,11803,PH Q3 2020,9996,PIZZA  HUT,250 HIGHWAY 9,,BLACK MOUNTAIN,NC,28711,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216985,R216985,11803,PH Q3 2020,7776,PIZZA  HUT,150 HIGHWAY 19 S,,BRYSON CITY,NC,28713,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216986,R216986,11803,PH Q3 2020,7952,PIZZA  HUT,717 E MAIN ST ,,BURNSVILLE,NC,28714,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216987,R216987,11803,PH Q3 2020,26097,PIZZA  HUT,25 NEW CLYDE HWY,,CANTON,NC,28716,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216988,R216988,11803,PH Q3 2020,6777,PIZZA  HUT,999 GEORGIA RD,,FRANKLIN,NC,28734,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216989,R216989,11803,PH Q3 2020,14721,PIZZA  HUT,1212 N MAIN ST,,MARION,NC,28752,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216990,R216990,11803,PH Q3 2020,14042,PIZZA  HUT,584 CASINO TRL,,WHITTIER,NC,28789,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216991,R216991,11803,PH Q3 2020,7964,PIZZA  HUT,1800 FOUR SEASONS BLVD,,HENDERSONVILLE,NC,28792,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216992,R216992,11803,PH Q3 2020,22250,PIZZA  HUT,790 FAIRVIEW RD,,ASHEVILLE,NC,28803,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216993,R216993,11803,PH Q3 2020,7346,PIZZA  HUT,497 WEAVERVILLE HWY,,ASHEVILLE,NC,28804,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216994,R216994,11803,PH Q3 2020,24527,PIZZA  HUT,927 S BROAD ST,,CLINTON,SC,29325,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216995,R216995,11803,PH Q3 2020,22508,PIZZA  HUT,102 HIGHWAY 15-401 BYP W ,,BENNETTSVILLE,SC,29512,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216996,R216996,11803,PH Q3 2020,12869,PIZZA  HUT,7601 N KINGS HWY,,MYRTLE BEACH,SC,29572,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216997,R216997,11803,PH Q3 2020,13584,PIZZA  HUT,3736 RENEE DR,,MYRTLE BEACH,SC,29579,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216998,R216998,11803,PH Q3 2020,12866,PIZZA  HUT,80 S KINGS HWY,,N MYRTLE BCH,SC,29582,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216999,R216999,11803,PH Q3 2020,22993,PIZZA  HUT,113 STATE PARK RD,,GREENVILLE,SC,29609,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
217000,R217000,11803,PH Q3 2020,26792,PIZZA  HUT,2521 WOODRUFF ROAD,,GREENVILLE,SC,29609,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
217001,R217001,11803,PH Q3 2020,6609,PIZZA  HUT,306 W WADE HAMPTON BLVD,,GREER,SC,29650,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
